# X,Y,Z,PX,PY
3.100000000000000000e+02,-1.200000000000000000e+02,2.500000000000000000e+01,1.509765747329173337e+03,9.522003456321557451e+02
3.100000000000000000e+02,-1.200000000000000000e+02,4.500000000000000000e+01,1.535442287636213223e+03,9.370724259188025371e+02
3.100000000000000000e+02,-1.200000000000000000e+02,6.500000000000000000e+01,1.563609724300445123e+03,9.193540546403165763e+02
3.100000000000000000e+02,-6.000000000000000000e+01,2.500000000000000000e+01,1.447749197190627228e+03,7.471606269583226094e+02
3.100000000000000000e+02,-6.000000000000000000e+01,4.500000000000000000e+01,1.468547347263140182e+03,7.223243498375830995e+02
3.100000000000000000e+02,-6.000000000000000000e+01,6.500000000000000000e+01,1.491869273582259439e+03,6.997354336504381536e+02
3.100000000000000000e+02,0.000000000000000000e+00,2.500000000000000000e+01,1.392065714881303848e+03,5.675711965369144991e+02
3.100000000000000000e+02,0.000000000000000000e+00,4.500000000000000000e+01,1.409830111560144132e+03,5.366195590286681636e+02
3.100000000000000000e+02,0.000000000000000000e+00,6.500000000000000000e+01,1.428670266675956100e+03,5.067718210043741465e+02
3.100000000000000000e+02,6.000000000000000000e+01,2.500000000000000000e+01,1.342560282531323992e+03,4.067089008881379186e+02
3.100000000000000000e+02,6.000000000000000000e+01,4.500000000000000000e+01,1.357298560825754521e+03,3.710569926637526237e+02
3.100000000000000000e+02,6.000000000000000000e+01,6.500000000000000000e+01,1.372885527482389989e+03,3.347201230094501057e+02
3.100000000000000000e+02,1.200000000000000000e+02,2.500000000000000000e+01,1.298138534038761236e+03,2.625455613607044256e+02
3.100000000000000000e+02,1.200000000000000000e+02,4.500000000000000000e+01,1.309935083059433964e+03,2.250007327318911621e+02
3.100000000000000000e+02,1.200000000000000000e+02,6.500000000000000000e+01,1.323277249918544840e+03,1.823648078529847680e+02
